UID          PID    PPID  C STIME TTY          TIME CMD
root         346       2  0 11:11 ?        00:00:00 [loop14]
root         347       2  0 11:11 ?        00:00:00 [loop15]
root         349       2  0 11:11 ?        00:00:00 [loop16]
root         350       2  0 11:11 ?        00:00:00 [loop17]
root         353       2  0 11:11 ?        00:00:00 [loop18]
root         355       2  0 11:11 ?        00:00:00 [loop19]
root         357       2  0 11:11 ?        00:00:00 [loop20]
root         358       2  0 11:11 ?        00:00:00 [loop21]
root         360       1  0 11:11 ?        00:00:01 /lib/systemd/systemd-udevd
root         364       2  0 11:11 ?        00:00:00 [loop22]
root         400       2  0 11:11 ?        00:00:00 [cryptd]
root         407       2  0 11:11 ?        00:00:00 [irq/126-mei_me]
root         454       2  0 11:11 ?        00:00:00 [cfg80211]
root         484       2  0 11:11 ?        00:00:01 [irq/128-iwlwifi]
root         485       2  0 11:11 ?        00:00:00 [card0-crtc0]
root         486       2  0 11:11 ?        00:00:00 [card0-crtc1]
root         487       2  0 11:11 ?        00:00:00 [card0-crtc2]
systemd+     795       1  0 11:11 ?        00:00:01 /lib/systemd/systemd-resolved
systemd+     796       1  0 11:11 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         833       1  0 11:11 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         834       1  0 11:11 ?        00:00:00 /usr/sbin/acpid
avahi        837       1  0 11:11 ?        00:00:03 avahi-daemon: running [ifce-mpe-636055.local]
root         838       1  0 11:11 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root         839       1  0 11:11 ?        00:00:00 /usr/sbin/cron -f
message+     841       1  0 11:11 ?        00:00:04 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         842       1  0 11:11 ?        00:00:13 /usr/sbin/NetworkManager --no-daemon
root         847       1  0 11:11 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         848       1  0 11:11 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         851       1  0 11:11 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog       853       1  0 11:11 ?        00:00:01 /usr/sbin/rsyslogd -n -iNONE
root         856       1  0 11:11 ?        00:00:02 /usr/lib/snapd/snapd
root         857       1  0 11:11 ?        00:00:00 /usr/libexec/switcheroo-control
root         859       1  0 11:11 ?        00:00:00 /lib/systemd/systemd-logind
root         860       1  0 11:11 ?        00:00:00 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         861       1  0 11:11 ?        00:00:00 /usr/lib/udisks2/udisksd
root         862       1  0 11:11 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        867     837  0 11:11 ?        00:00:00 avahi-daemon: chroot helper
root         930       1  0 11:11 ?        00:00:00 /usr/sbin/cupsd -l
root         967       1  0 11:11 ?        00:00:00 /usr/sbin/cups-browsed
root         974       1  0 11:11 ?        00:00:04 dockerd --group docker --exec-root=/run/snap.docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/run/snap.docker/docker.pid --config-file=/var/snap/docker/1458/config/daemon.json
root         976       1  0 11:11 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         978       1  0 11:11 ?        00:00:01 /usr/bin/containerd
